Train samples: 288
Val samples:   48
Test samples:  45
[Intermediate CrossAttention] Total params: 30,798,851 (~30.80M) | Trainable: 30,798,851 (~30.80M)
Initial fusion info: {'gamma': 0.0, 'attn_dim': 128.0, 'attn_heads': 4.0}
================================================================================
Experiment directory: /net/fs-2/scale/OrionStore/Projects/WaiKnotCT/FullData/Multimodal/Fusion/IntermediateFusion/Model
Device: cuda:0
Epochs: 300, AMP: True, Accum steps: 2
Validate every: 1, Patience: 30
================================================================================
Epoch 091/300 | train loss 0.0591 | val loss 0.0751 | val metric 0.8859 | lr 1.34218e-05 | time 385.6s | best 0.9014 at epoch 071
Epoch 092/300 | train loss 0.0619 | val loss 0.0731 | val metric 0.8972 | lr 1.34218e-05 | time 385.7s | best 0.9014 at epoch 071
Epoch 093/300 | train loss 0.0597 | val loss 0.0764 | val metric 0.8809 | lr 1.34218e-05 | time 385.4s | best 0.9014 at epoch 071
Epoch 094/300 | train loss 0.0619 | val loss 0.0736 | val metric 0.9014 | lr 1.34218e-05 | time 385.8s | best 0.9014 at epoch 071
Epoch 095/300 | train loss 0.0595 | val loss 0.0760 | val metric 0.8852 | lr 1.34218e-05 | time 385.4s | best 0.9014 at epoch 071
Epoch 096/300 | train loss 0.0578 | val loss 0.0786 | val metric 0.8852 | lr 1.34218e-05 | time 384.7s | best 0.9014 at epoch 071
Epoch 097/300 | train loss 0.0642 | val loss 0.0731 | val metric 0.8882 | lr 1.34218e-05 | time 386.2s | best 0.9014 at epoch 071
Epoch 098/300 | train loss 0.0611 | val loss 0.0743 | val metric 0.8888 | lr 1.34218e-05 | time 385.7s | best 0.9014 at epoch 071
Epoch 099/300 | train loss 0.0621 | val loss 0.0732 | val metric 0.8790 | lr 1.34218e-05 | time 385.4s | best 0.9014 at epoch 071
Epoch 100/300 | train loss 0.0594 | val loss 0.0785 | val metric 0.8784 | lr 1.07374e-05 | time 385.5s | best 0.9014 at epoch 071
Epoch 101/300 | train loss 0.0574 | val loss 0.0746 | val metric 0.8924 | lr 1.07374e-05 | time 385.1s | best 0.9014 at epoch 071
Early stopping at epoch 101. No improvement for 30 validation checks.
================================================================================
Training finished. Best validation metric: 0.9014 at epoch 071
Best checkpoint: /net/fs-2/scale/OrionStore/Projects/WaiKnotCT/FullData/Multimodal/Fusion/IntermediateFusion/Model/checkpoints/best_model.pt
================================================================================
Intermediate cross attention training finished.
Best val metric: 0.9014 at epoch 71
Best model: /net/fs-2/scale/OrionStore/Projects/WaiKnotCT/FullData/Multimodal/Fusion/IntermediateFusion/Model/checkpoints/best_model.pt
Final fusion info: {'gamma': -4.9350789186744975e-40, 'attn_dim': 128.0, 'attn_heads': 4.0}
